Track Name,Artist,Total Streams
Rockin' Around The Christmas Tree,Brenda Lee,42740474.0
All I Want for Christmas Is You,Mariah Carey,41624531.0
Jingle Bell Rock,Bobby Helms,39430907.0
It's the Most Wonderful Time of the Year,Andy Williams,37329866.0
Last Christmas,Wham!,35018784.0
Santa Tell Me,Ariana Grande,34376427.0
DÁKITI,Bad Bunny,32033146.0
It's Beginning to Look a Lot like Christmas,Michael Bublé,31474371.0
34+35,Ariana Grande,29012406.0
positions,Ariana Grande,28637985.0
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,28180674.0
Mood (feat. iann dior),24kGoldn,27957207.0
Underneath the Tree,Kelly Clarkson,27182931.0
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,25109774.0
A Holly Jolly Christmas - Single Version,Burl Ives,25060518.0
Feliz Navidad,José Feliciano,24401275.0
Body,Megan Thee Stallion,23799325.0
The Christmas Song (Merry Christmas To You),Nat King Cole,23797845.0
willow,Taylor Swift,23665075.0
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,23126030.0
Therefore I Am,Billie Eilish,22354877.0
HOLIDAY,Lil Nas X,22304955.0
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,22262194.0
WAP (feat. Megan Thee Stallion),Cardi B,22192339.0
Whoopty,CJ,22146436.0
Mistletoe,Justin Bieber,21636220.0
WITHOUT YOU,The Kid LAROI,21279383.0
Blinding Lights,The Weeknd,21078594.0
Holly Jolly Christmas,Michael Bublé,20919820.0
What You Know Bout Love,Pop Smoke,20420235.0
Laugh Now Cry Later (feat. Lil Durk),Drake,20014551.0
champagne problems,Taylor Swift,19821706.0
Do They Know It's Christmas? - 1984 Version,Band Aid,19495916.0
Sleigh Ride,The Ronettes,18664472.0
ROCKSTAR (feat. Roddy Ricch),DaBaby,18232021.0
White Christmas,Bing Crosby,18189634.0
Wishing Well,Juice WRLD,17979742.0
‘tis the damn season,Taylor Swift,16921447.0
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,16914024.0
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,16772407.0
pov,Ariana Grande,16739695.0
Come & Go (with Marshmello),Juice WRLD,16735328.0
gold rush,Taylor Swift,16529876.0
Blue Christmas,Elvis Presley,16522239.0
Run Rudolph Run - Single Version,Chuck Berry,16461960.0
"no body, no crime (feat. HAIM)",Taylor Swift,16431177.0
Levitating (feat. DaBaby),Dua Lipa,16140145.0
Santa Claus Is Coming To Town,The Jackson 5,15852702.0
All Girls Are The Same,Juice WRLD,15821553.0
LA NOCHE DE ANOCHE,Bad Bunny,15809572.0
Sweater Weather,The Neighbourhood,15773119.0
Heather,Conan Gray,15717738.0
Blueberry Faygo,Lil Mosey,15403250.0
Tequila Shots,Kid Cudi,15339936.0
The Box,Roddy Ricch,14983829.0
Happy Xmas (War Is Over) - Remastered 2010,John Lennon,14962291.0
Lucid Dreams,Juice WRLD,14740147.0
SO DONE,The Kid LAROI,14469035.0
tolerate it,Taylor Swift,14422223.0
Prisoner (feat. Dua Lipa),Miley Cyrus,14267049.0
Christmas (Baby Please Come Home),Darlene Love,14039178.0
Robbery,Juice WRLD,14028973.0
you broke me first,Tate McRae,13969648.0
Lonely (with benny blanco),Justin Bieber,13899273.0
Forever After All,Luke Combs,13383766.0
Watermelon Sugar,Harry Styles,13310465.0
happiness,Taylor Swift,13293940.0
Reminds Me Of You,Juice WRLD,13168149.0
my ex's best friend (with blackbear),Machine Gun Kelly,13146767.0
Carol of the Bells,Mykola Dmytrovych Leontovych,13073646.0
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,13052464.0
Put Your Records On,Ritt Momney,13037210.0
Dynamite,BTS,13016875.0
"Baby, It's Cold Outside",Dean Martin,12969533.0
Circles,Post Malone,12923171.0
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,12756837.0
Joy To The World,Nat King Cole,12751864.0
ivy,Taylor Swift,12724458.0
Holy (feat. Chance The Rapper),Justin Bieber,12703498.0
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,12693454.0
Runnin,21 Savage,12648673.0
O Tannenbaum,Vince Guaraldi Trio,12638703.0
Martin & Gina,Polo G,12615434.0
PRACTICE,DaBaby,12611261.0
Somebody’s Problem,Morgan Wallen,12392906.0
I Saw Mommy Kissing Santa Claus,The Jackson 5,12384622.0
Santa Baby (with Henri René & His Orchestra),Eartha Kitt,12376889.0
Sofia,Clairo,11919675.0
This Christmas,Donny Hathaway,11847704.0
Mr. Right Now (feat. Drake),21 Savage,11827215.0
coney island (feat. The National),Taylor Swift,11780053.0
Show Out (with Skepta & Pop Smoke),Kid Cudi,11742687.0
long story short,Taylor Swift,11692348.0
Someone You Loved,Lewis Capaldi,11580573.0
GO (feat. Juice WRLD),The Kid LAROI,11562076.0
Life Is Good (feat. Drake),Future,11454401.0
Have Yourself A Merry Little Christmas,Judy Garland,11433528.0
Mistletoe And Holly - Remastered 1999,Frank Sinatra,11392038.0
Dreams - 2004 Remaster,Fleetwood Mac,11269773.0
evermore (feat. Bon Iver),Taylor Swift,11264546.0
Silver Bells,Dean Martin,11240563.0
Mood Swings (feat. Lil Tjay),Pop Smoke,10926988.0
Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,10919811.0
TE MUDASTE,Bad Bunny,10786194.0
Do You Hear What I Hear? - Remastered 2006,Bing Crosby,10722319.0
Before You Go,Lewis Capaldi,10648407.0
Drankin N Smokin,Future,10618762.0
Daddy Issues,The Neighbourhood,10570056.0
Jocelyn Flores,XXXTENTACION,10569231.0
Way Out (feat. Big Sean),Jack Harlow,10550751.0
7 Summers,Morgan Wallen,10500547.0
Took Her To The O,King Von,10486443.0
Daisy,Ashnikko,10434355.0
More Than My Hometown,Morgan Wallen,10375880.0
Winter Wonderland - Remastered,Bing Crosby,10350620.0
Tyler Herro,Jack Harlow,10337946.0
E-GIRLS ARE RUINING MY LIFE!,CORPSE,10265059.0
Adore You,Harry Styles,10238579.0
SLOW DANCING IN THE DARK,Joji,10167948.0
,,10122584.0
WHATS POPPIN,Jack Harlow,10107976.0
Bang!,AJR,10102992.0
death bed (coffee for your head),Powfu,10099640.0
Righteous,Juice WRLD,10071344.0
,,10053600.0
goosebumps,Travis Scott,10038478.0
POPSTAR (feat. Drake),DJ Khaled,9915151.0
Roses - Imanbek Remix,SAINt JHN,9865974.0
hot girl bummer,blackbear,9784396.0
Bandit (with YoungBoy Never Broke Again),Juice WRLD,9768377.0
Snowman,Sia,9708350.0
Wonder,Shawn Mendes,9672099.0
Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,9619104.0
Errbody,Lil Baby,9584570.0
No Role Modelz,J. Cole,9540081.0
On Me,Lil Baby,9493283.0
HIGHEST IN THE ROOM,Travis Scott,9485055.0
Go Crazy,Chris Brown,9466403.0
BOP,DaBaby,9461500.0
,,9453004.0
Ballin' (with Roddy Ricch),Mustard,9367033.0
,,9301998.0
,,9277682.0
Little Saint Nick - 1991 Remix,The Beach Boys,9242341.0
"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow,9119655.0
BICHOTA,KAROL G,9061700.0
,,8903410.0
Christmas Time Is Here - Vocal,Vince Guaraldi Trio,8379606.0
Heat Waves,Glass Animals,8310174.0
,,8243068.0
,,8199884.0
,,8011224.0
Godzilla (feat. Juice WRLD),Eminem,7938505.0
,,7905816.0
Smile (with The Weeknd),Juice WRLD,7898130.0
Hawái - Remix,Maluma,7787708.0
,,7772611.0
Train Wreck,James Arthur,7714944.0
Whiskey Glasses,Morgan Wallen,7626021.0
Are You Bored Yet? (feat. Clairo),Wallows,7587451.0
ROXANNE,Arizona Zervas,7552652.0
After Party,Don Toliver,7409244.0
Star Shopping,Lil Peep,7388651.0
Electric Love,BØRNS,7333434.0
If the World Was Ending - feat. Julia Michaels,JP Saxe,7311149.0
Dior,Pop Smoke,7272762.0
lovely (with Khalid),Billie Eilish,7213229.0
21,Polo G,7205759.0
Cry Baby (feat. DaBaby),Megan Thee Stallion,6878866.0
,,6861434.0
,,6836939.0
,,6716969.0
,,6692737.0
,,6642972.0
,,6559955.0
,,6169371.0
,,6128705.0
,,6008656.0
,,5959076.0
Dead Man Walking,Brent Faiyaz,5887343.0
,,5611573.0
,,5511937.0
,,5429775.0
Be Like That - feat. Swae Lee & Khalid,Kane Brown,5394929.0
Chasin' You,Morgan Wallen,5358926.0
We Paid (feat. 42 Dugg),Lil Baby,5271843.0
Sunday Best,Surfaces,5268543.0
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,5251549.0
20 Min,Lil Uzi Vert,5165760.0
Falling,Trevor Daniel,5158769.0
Kacey Talk,YoungBoy Never Broke Again,5140361.0
Don't Start Now,Dua Lipa,5137304.0
Better Together,Luke Combs,5085729.0
Intentions (feat. Quavo),Justin Bieber,5084967.0
SAD!,XXXTENTACION,5084470.0
,,5016707.0
MIDDLE CHILD,J. Cole,5009436.0
,,4988315.0
,,4958106.0
Beautiful Crazy,Luke Combs,4956015.0
XO Tour Llif3,Lil Uzi Vert,4925099.0
Party Girl,StaySolidRocky,4924026.0
,,4882773.0
Drip Too Hard (Lil Baby & Gunna),Lil Baby,4845563.0
,,4794852.0
,,4673106.0
,,4628075.0
Good Days,SZA,4601858.0
,,4539961.0
,,4531135.0
,,4487609.0
,,4339998.0
,,4260845.0
,,4250519.0
,,4162948.0
,,4079319.0
,,4044135.0
,,4004693.0
,,3974110.0
,,3921805.0
,,3897687.0
,,3878581.0
,,3708968.0
,,3672095.0
,,3662009.0
,,3629346.0
,,3620190.0
,,3619796.0
Slay3r,Playboi Carti,3548291.0
,,3501298.0
,,3486539.0
Line Without a Hook,Ricky Montgomery,3450879.0
,,3447467.0
,,3384221.0
,,3352112.0
,,3343754.0
,,3339396.0
,,3327955.0
,,3322539.0
,,3291437.0
,,3282943.0
,,3279048.0
,,3278545.0
,,3267236.0
Everybody Dies In Their Nightmares,XXXTENTACION,3204533.0
,,3186056.0
,,3118832.0
,,3096865.0
,,3083045.0
,,3060510.0
,,2805123.0
Vamp Anthem,Playboi Carti,2761884.0
Go2DaMoon (feat. Kanye West),Playboi Carti,2749804.0
Afterglow,Ed Sheeran,2719458.0
New N3on,Playboi Carti,2699021.0
M3tamorphosis (feat. Kid Cudi),Playboi Carti,2678856.0
,,2599182.0
,,2578320.0
,,2573717.0
,,2572944.0
,,2510440.0
,,2484295.0
,,2455725.0
,,2435487.0
,,2425578.0
,,2409689.0
Rockstar Made,Playboi Carti,2405139.0
,,2377213.0
,,2366449.0
,,2317109.0
Still Trappin' (with King Von),Lil Durk,2315719.0
,,2311566.0
,,2282957.0
,,2260325.0
Place,Playboi Carti,2254755.0
Over,Playboi Carti,2244885.0
Beno!,Playboi Carti,2241699.0
,,2236124.0
Sky,Playboi Carti,2232541.0
,,2228586.0
,,2227802.0
,,2213423.0
,,2210610.0
,,2196381.0
ILoveUIHateU,Playboi Carti,2180078.0
,,2174796.0
,,2171983.0
,,2163160.0
Stop Breathing,Playboi Carti,2115493.0
,,2107557.0
,,2086780.0
,,2083642.0
,,2061769.0
,,2054798.0
,,2053112.0
Hayloft,Mother Mother,2042845.0
Adderall (Corvette Corvette) - Remix,Popp Hunna,2037598.0
,,2011564.0
Teen X (feat. Future),Playboi Carti,2009821.0
,,2006129.0
,,1990978.0
,,1982003.0
,,1948345.0
,,1910098.0
,,1901931.0
,,1900871.0
,,1894193.0
New Tank,Playboi Carti,1893831.0
,,1891419.0
,,1880684.0
,,1860088.0
Control,Playboi Carti,1858936.0
,,1847252.0
,,1845689.0
,,1790679.0
,,1789343.0
,,1769075.0
,,1757240.0
,,1742611.0
,,1739878.0
,,1704552.0
Starting Over,Chris Stapleton,1690721.0
,,1687300.0
,,1649694.0
Dance Monkey,Tones And I,1613509.0
,,1586636.0
,,1585935.0
,,1579706.0
,,1576726.0
